Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Notes,,
THE STERLING DICTIONARY OF RELIGION,2005-04-14,2005,P.U. (A) 156,Printed Documents,AMRITA SHARMA,STERLING PUBLISHERS PVT.LTD.,Foreign,"SHAGUN OFFSET PRESS,","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
THE WORD OF ISLAM,2005-04-14,2005,P.U. (A) 156,Printed Documents,JOHN ALDEN WILLIAMS,THAMES AND HUDSON LTD. LONDON,Foreign,PRINTED IN USA,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
GREAT RELIGIONS OF THE WORLD,2005-04-14,2005,P.U. (A) 156,Printed Documents,n/a,NATIONAL GEOGRAPHIC SOCIETY,Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
WOMEN AND ISLAM,2005-04-14,2005,P.U. (A) 157,Printed Documents,FATIMA MERNISSI,BLACKWELL PUBLISHERS,Unclear,ATHENAEUM PRESS LTD,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
MUHAMMAD A BIOGRAPHY OF THE PROPHET,2005-04-14,2005,P.U. (A) 157,Printed Documents,KAREN ARMSTRONG,HARPER COLLINS PUBLISHERS,Foreign,PRINT IN USA,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
MESSIAH WAR IN THE MIDDLE EAST & ROAD TO ARMAGEDDON,2005-04-14,2005,P.U. (A) 156,Printed Documents,Grant R. Jeffrey,Frontier Research Publications,Unclear,Harmony Printing Limited Canada,"[""English""]",Religious doctrinal deviance,Other,,,
MYSTERIOUS FACTS STRANGE WORLD,2005-04-14,2005,P.U. (A) 156,Printed Documents,RICHARD O`NEILL,Grange Books,Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
MYSTERIOUS FACTS GODS & DEMONS,2005-04-14,2005,P.U. (A) 156,Printed Documents,AMANDA O`NEILL,Grange Books,Foreign,n/a,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
"Eminem ""Talking""",2005-09-22,2005,P.U. (A) 349,Audio/Recordings,CHUCK WEINER,OMNIBUS PRESS,Unclear,"CALIGRAFING LTD, THETFORD, NORFOLK","[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
THE PRICE OF PLEASURE,2005-09-22,2005,P.U. (A) 349,Printed Documents,JOAN ELIZABETH LLOYD,KENSINGTON PUBLISHING CORP.,Foreign,DICETAK DI UNITED STATES OF AMERICA,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
THE BING BANG,2005-09-22,2005,P.U. (A) 349,Printed Documents,EMMA TAYLOR DAN LORELEI SHARKE,PENGUIN GROUP (USA) INC.,Foreign,DICETAK DI UNITED STATE OF AMERICA,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
THE VICE GUIDE TO SEX AND DRUGS AND ROCK AND ROLL,2005-09-22,2005,P.U. (A) 349,Printed Documents,"SUROOSH ALVI, GAVIN MCLNNES","HARPER COLLINS WARNER BOOKS, INC.",Foreign,DICETAK DI UNITED STATES OR AMERICA,"[""English""]",General/Unindentified,Administrative/Unclear Ground,,,
LESBIAN COUPLE A GUIDE TI CREATING HEALTHY RELATIONSHIPS,2005-09-22,2005,P.U. (A) 349,Printed Documents,D.MERILEE CLUNIS & G.DORSEY,SEAL PRESS,Foreign,DICETAK DI KANADA,"[""English""]",Subversive ideological and political content,LGBT,,,
MALAM PENGANTIN - INDAHKAH MALAM PENGANTIN ANDA BERDUA?,2005-09-22,2005,P.U. (A) 350,Printed Documents,PUTERI IZMA MOHAMAD ABDUL,PROGRESSIVE PUBLISHING HOUSE SDN.BHD.,Local,n/a,"[""Malay""]",Obscene / immoral publications,Pornography,,,
IS3HOT,2005-09-22,2005,P.U. (A) 350,Printed Documents,DEQ NAN,D LINX PUBLISHERS,Unclear,SYARIKAT PERCETAKAN LIWINNER SDN.BHD,"[""Malay""]",Obscene / immoral publications,Pornography,,,
PERMATA SUKMA,2005-09-22,2005,P.U. (A) 350,Printed Documents,ROZAI SULAIMAN,MEDIAKOTA PUBLISHING,Local,MAJUJAYA INDAH SDN. BHD.,"[""Malay""]",Obscene / immoral publications,Pornography,,,
AIR MATA GADIS,2005-09-22,2005,P.U. (A) 350,Printed Documents,PUTERI IZMA(MOHAMAD ABD.HAMID),PROGRESSIVE PUBLIHING HOUSE SDN.BHD.,Local,MAJUJAYA INDAH SDN.BHD.,"[""Malay""]",General/Unindentified,Administrative/Unclear Ground,,,
PENGANTIN REMAJA ( PELAMIN IMPIANKU ),2005-09-22,2005,P.U. (A) 350,Printed Documents,PUTERI IZMA,PROGRESSIVE PUBLISHING HOUSE SDN.BHD.,Local,n/a,"[""Malay""]",Obscene / immoral publications,Pornography,,,
LESBIAN,2005-09-22,2005,P.U. (A) 350,Printed Documents,RADZI SAYED,AR COMMUNICATIONS.,Local,LIAN YEW PRESS SDN.BHD.,"[""Malay""]",Subversive ideological and political content,LGBT,,,
KORBAN NAFSU,2005-09-22,2005,P.U. (A) 350,Printed Documents,A HAMID OSMAN,TEGUH RINGGIT PUBLISHING HOUSE.,Local,"MAJUJAYA INDAH SDN.BHD. 68 JALAN 14E, AMPANG NEW VILLAGE, 68000 SELANGOR","[""Malay""]",Obscene / immoral publications,Pornography,,,
RAHSIA WANITA,2005-09-22,2005,P.U. (A) 350,Printed Documents,n/a,ZZAN PUBLICATION,Unclear,"RITLITE PRINTERS, 48 JALAN 2/10, 68100 BATU CAVES, SELANGOR","[""Malay""]",Obscene / immoral publications,Pornography,,,
PERMATA BAIDURI II ( PETUA MERAWAT SEMULA DARA YANG TELAH HILANG ),2005-09-22,2005,P.U. (A) 350,Printed Documents,PUTERI IZMA (MOHAMAD ABD.HAMID),USNIE PUBLISHER,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
PERMATA BAIDURI ( TUJUH RORMULA MENGENAL GADIS MASIH DARA ATAU TIDAK ),2005-09-22,2005,P.U. (A) 350,Printed Documents,PUTERI IZMA(MOHAMAD ABD.HAMID),USNIE PUBLISHER,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
Hakikat Lafadz A.L.L.A.H.,2005-11-10,2005,P.U. (A) 467,Printed Documents,MUHYIDDIN IBNU ARABI,PENERBIT PUSTAKA PROGRESSIF,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
KISAH TONGKAT NABI MUSA,2005-11-10,2005,P.U. (A) 467,Printed Documents,KH.ABDULLAH ZAKIY AL-KAAF,CV PUSTAKA SETIA,Foreign,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
DELAPAN ADZAB ALLAH SWT,2005-11-10,2005,P.U. (A) 467,Printed Documents,KH. ABDULLAH ZAKIY AL-KAAF,CV PUSTAKA SETIA,Foreign,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
JEMAAT YANG MENGALAMI TEROBOSAN STRATEGI-STRATEGI APOSTOLIK,2005-11-10,2005,P.U. (A) 467,Printed Documents,DR.JONATHAN DAVID,NAFIRI GABRIEL,Unclear,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
MENGAPA KITA MENCINTAI KELUARGA NABI SAW,2005-11-10,2005,P.U. (A) 467,Printed Documents,MUHAMMAD KADZIM MUHAMMAD,PT LENTERA BASRITAMA,Foreign,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
SETETES RAHASIA ALAM TUHAN MELALUI PERISTIWA METAFISIKA AL-MI'RAJ,2005-11-10,2005,P.U. (A) 467,Printed Documents,KH.BAHAUDIN MUDHARY,PENERBIT PUSTAKA PROGRESSIF,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
QURAN MENURUT PEREMPUAN,2005-11-10,2005,P.U. (A) 467,Printed Documents,AMINA WADUD,PT SERAMBI ILMU SEMESTA,Foreign,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
40 HARI KHALWAT CATATAN HARIAN SEORANG PSIKOLOGI DALAM PENGASINGAN DIRI SUFISTIK,2005-11-10,2005,P.U. (A) 467,Printed Documents,MICHAELA OZELSEL,PUSTAKA HIDAYAH,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
AL-AUDAH ILA AL-QURAN ( KEMBALI KEPADA AL-QURAN ),2005-11-10,2005,P.U. (A) 467,Printed Documents,KASSIM AHMAD,MAKTABAH MADBULI AL-SAGHIR,Foreign,n/a,n/a,Religious doctrinal deviance,Other,,,
Dari Zaman Nabi Muhammad Saw Dan Para Sahabat,2005-11-10,2005,P.U. (A) 467,Printed Documents,KH. Abdullah Zakiy Al-Kaaf Drs. Maman Abd. Djaliel,CV Pustaka Setia,Foreign,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
PINK LADY,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,JIN TIAN PRESS CO.LTD.,Unclear,EMPEROR PRINTING CO.LTD.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
HOT! GIRL,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,JIN TIAN PRESS CO. LTD.,Unclear,EMPEROR PRINTING CO.LTD.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
WANITA SEKSI,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,JIN TIAN PRESS CO.LTD.,Unclear,EMPEROR PRINTING CO.LTD.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
GODAAN SEKS,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,JIN TIAN PRESS CO.LTD.,Unclear,EMPEROR PRINTING CO.LTD.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
CINTA HARAM,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,JIN TIAN PRESS CO.LTD.,Unclear,EMPEROR PRINTING CO.LTD.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
ANGEL,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,JIN TIAN PRESS CO.LTD.,Unclear,EMPEROR PRINTING CO.LTD.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
SEXY GIRL,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,JIN TIAN PRESS CO.LTD.,Unclear,EMPEROR CO.LTD.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
KAK LONG,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,JIN TIAN PRESS CO.LTD.,Unclear,EMPEROR PRINTING CO.LTD.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
BODY GIRL,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,JIN TIAN PRESS CO.LTD.,Unclear,EMPEROR PRINTING CO. LTD.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
WANITA YANG MERAYAU SEPANJANG MALAM,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,JIN TIAN PRESS CO.LTD.,Unclear,EMPEROR PRINTING CO.LTD.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
SI COMEL,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,QUAN LONG PRESS CO.LTD.,Unclear,EMPEROR PRINTING CO.LTD.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
CINTA LIAR,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,QUAN LONG PRESS CO.LTD.,Unclear,EMPEROR PRINTING CO. LTD.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
GADIS YANG MENGEJAR NAFSU,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,QUAN LONG PRESS CO.LTD.,Unclear,EMPEROR PRINTING CO. LTD.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
MIMPI PISANG,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,QUAN LONG PRESS CO. LTD.,Unclear,EMPEROR PRINTING CO. LTD.,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
ISTERI MUDA YANG BERLAKU CURANG,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,"YIN YE PRESS CO,LTD.",Unclear,"JIN XIN CO,LTD.","[""Chinese""]",Obscene / immoral publications,Pornography,,,
PASANGAN BERAHI,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,"YIN YE PRESS CO, LTD.",Unclear,"JIN XIN CO, LTD.","[""Chinese""]",Obscene / immoral publications,Pornography,,,
GADIS HAMBA NAFSU,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,"YIN YE PRESS CO, LTD.",Unclear,"JIN XIN CO, LTD.","[""Chinese""]",Obscene / immoral publications,Pornography,,,
WANITA YANG KESEPIAN,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,"YIN YE PRESS CO, LTD.",Unclear,"JIN XIN CO, LTD.","[""Chinese""]",Obscene / immoral publications,Pornography,,,
WANITA JELITA,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,YIN YE PRESS CO.LTD.,Unclear,"JIN XIN CO,LTD.","[""Chinese""]",Obscene / immoral publications,Pornography,,,
KISAH TENGAH MALAM,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,HUA MING PUBLISHING HOUSE,Unclear,"JIN XIN CO, LTD.","[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
PEREMPUAN TIDAK BERMORAL,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,HUA MING PUBLISHING HOUSE,Unclear,"JIN XIN CO, LTD. NO.","[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
GURU DARA,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,NEW PORT PRINTING & BINDING CO.,Unclear,NEW PORT PRINTING & BINDING CO.,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
KISAH DOKTOR YANG TAK SIUMAN,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,NEW PORT PRINTING & BINDING CO.,Unclear,NEW PORT PRINTING & BINDING CO.,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
CINTA KOTA,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,"NGAN HON INVESTMANT CO,LTD.",Unclear,FEI FAN PRINTING FACTORY,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
DUNIA CERIA,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,HONG KONG FEI DA PUBLISHING GROUP,Foreign,"505, 5TH FLOOR, BLOCK A, PO NING BUILDING 525 NATHAN ROAD, HONG KONG.","[""Chinese""]",Obscene / immoral publications,Pornography,,,
DUNIA ROMANTIK,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,HONG KONG GIANT PUBLISHING GROUP,Foreign,"505, 5TH FLOOR, BLOCK A, PO NING BUILDING 525 NATHAN ROAD HONG KONG.","[""Chinese""]",Obscene / immoral publications,Pornography,,,
LELAKI YANG BERTANGGUNG JAWAB,2005-11-24,2005,P.U. (A) 480,Printed Documents,n/a,Jin Tian Press Co.Ltd.,Unclear,Emperor Printing Co.Ltd,"[""Chinese""]",Obscene / immoral publications,Pornography,,,
"Artikel bertajuk ""Cartoon not much impact here""",2006-02-09,2006,P.U. (A) 56,Printed Documents,n/a,THE SARAWAK PRESS SDN.BHD.,Local,THE SARAWAK PRESS SDN.BHD.,"[""English""]",Religious doctrinal deviance,Other,,,
"Artikel bertajuk ""Media Eropah siarkan semula karikatur meningkatkan kontroversi Akhbar Denmark hina agama Islam, mohom maaf"" Yang disiarkan dalam akhbar Guan Ming Daily Edisi Petang pada 3 Februari 2",2006-02-15,2006,P.U. (A) 58,Printed Documents,n/a,Guang Ming Ribao Sdn Bhd.,Local,Guan Ming Ribao Sdn. Bhd,"[""Chinese""]",Religious doctrinal deviance,Other,,,
CANNABIS CULTURE,2006-04-13,2006,P.U. (A) 149,Printed Documents,n/a,AVALON SUNSPLASH LTD.,Foreign,DICETAK DI KANADA,"[""English""]",Obscene / immoral publications,Pornography,,,
WEED WORLD,2006-04-13,2006,P.U. (A) 149,Printed Documents,n/a,WEED WORLD,Unclear,n/a,"[""English""]",Obscene / immoral publications,Pornography,,,
HIGH TIMES,2006-04-13,2006,P.U. (A) 149,Printed Documents,n/a,TRANS-HIGH CORPORATION,Foreign,DICETAK DI USA,"[""English""]",Obscene / immoral publications,Pornography,,,
THE BARGAINING FOR ISRAEL: IN THE SHADOW OF AMARGEDDON,2006-06-08,2006,P.U. (A) 214,Printed Documents,MONA JOHNIAN,"BRIDGE-LOGOS,PUBLISHERS",Unclear,n/a,"[""English""]",Subversive ideological and political content,Revolutionary politics,,,
ISLAM,2006-06-08,2006,P.U. (A) 214,Printed Documents,MATTHEW S. GORDON,"OXFORD UNIVERSITY PRESS.INC,198.MADISON AVENUE,NEW YORK,NY,10016-4314",Foreign,IMAGO (SINGAPORE),"[""English""]",Religious doctrinal deviance,Other,,,
Lifting the veil,2006-06-08,2006,P.U. (A) 214,Printed Documents,TRUDIO CRAWFORD,APPLE OH GOLD,Local,UNITED STATES OF AMERICA,"[""English""]",Religious doctrinal deviance,Other,,,
A FUNDAMENTAL FEAR EUROCENTRISM AND THE EMERGENCE OF ISLAMISM,2006-06-08,2006,P.U. (A) 214,Printed Documents,BOBBY S SAYYID,ZED BOOKS LTD,Foreign,BIDDLES LTD.GUILDFORD AND KING'S LYNN,"[""English""]",Religious doctrinal deviance,Other,,,
ISLAM REVEALED A CHRISTIAN ARAB'S VIEW OF ISLAM,2006-06-08,2006,P.U. (A) 214,Printed Documents,DR. ANIS A. SHORROSH,"THOMAS NELSON PUBLISHERS NASHVILLE,TENNESSEE",Foreign,UNITED STATES OF EMERICA,"[""English""]",Religious doctrinal deviance,Other,,,
WHAT EVERYONE NEEDS TO KNOW ABOUT ISLAM,2006-06-08,2006,P.U. (A) 214,Printed Documents,JOHN L. ESPOSITO,"OXFORD UNIVERSITY PRESS,INC.",Foreign,UNITED STATES OF AMERICA,"[""English""]",Religious doctrinal deviance,Other,,,
MINI-SKIRTS MOTHERS & MUSLIMS,2006-06-08,2006,P.U. (A) 215,Printed Documents,CHRISTINE MALLOUHI,n/a,Unclear,n/a,"[""English""]",Religious doctrinal deviance,Other,,,
"THE BATTLE FOR GOD FUNDAMENTALISM IN JUDAISM,CHRISTIANITY AND ISLAM",2006-06-08,2006,P.U. (A) 215,Printed Documents,KAREN AMSTRONG,HARPERCOLLINS PUBLISHERS,Foreign,CLAYS LTD. ST IVES PLC,"[""English""]",Religious doctrinal deviance,Other,,,
SACRED BOOKS OF THE EAST,2006-06-08,2006,P.U. (A) 215,Printed Documents,EPIPHANIUS WILSON,J-JETLEY ASIAN EDUCATIONAL SERVICES,Unclear,KONARK PRESS,"[""English""]",Religious doctrinal deviance,Other,,,
SHARING YOUR FAITH WITH A MUSLIM,2006-06-08,2006,P.U. (A) 215,Printed Documents,ABDIYAH AKBAR ABDUL-HAQQ,BETHANY HOUSE PUBLISHERS,Foreign,BETHANY PRESS INTERNATIONAL,"[""English""]",Religious doctrinal deviance,Other,,,
"CULT, WORLD RELIGIONS AND THE OCCULT",2006-06-08,2006,P.U. (A) 215,Printed Documents,KENNETH BOA,CHARIOT VICTOR PUBLISHING,Unclear,SP PUBLICATIONS INC.,"[""English""]",Religious doctrinal deviance,Other,,,
"PETUA DAN DOA PENDINDING,PENAWAR, PENYEMBUH PENYAKIT",2006-06-08,2006,P.U. (A) 216,Printed Documents,AWANG MOHD YAHYA,USNIE PUBLISHER,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
HAKIKAT & HIKMAH 7 HARI DALAM SEMINGGU,2006-06-08,2006,P.U. (A) 216,Printed Documents,ABU NASHR AL-HAMDANIY,PUSTAKA ILMI,Local,n/a,"[""Malay""]",Obscene / immoral publications,Erotic/immoral content,,,
PEMUDA BANI TAMIM PERINTIS JALAN IMAM MAHDI,2006-06-08,2006,P.U. (A) 216,Printed Documents,ABU MUHAMMAD ATTA,PENERBIT GILIRAN TIMUR,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Syiah,,,
KONTROVERSI HUKUM HUDUD,2006-06-08,2006,P.U. (A) 217,Printed Documents,KASSIM AHMAD,FORUM IQRA' BERHAD,Local,LAU & SON PUBLISHING & PRINTING SDN.BHD,"[""English""]",Religious doctrinal deviance,Other,,,
RISALAH NO.2 DILEMA UMAT ISLAM - ANTARA HADIS DAN QURAN,2006-06-08,2006,P.U. (A) 217,Printed Documents,KASSIM AHMAD,FORUM IQRA' BERHAD,Local,n/a,"[""English""]",Religious doctrinal deviance,Other,,,
SIRI 7 AMALAN-AMALAN BID'AH PADA BULAN SYABAN,2006-06-08,2006,P.U. (A) 217,Printed Documents,USTAZ RASUL BIN DAHRI,PERNIAGAAN JAHABERSA,Local,PERCETAKAN PUTRAJAYA SDN.BHD,"[""Malay""]",Religious doctrinal deviance,Other,,,
SKIN SHOWS THE TATTOO BIBLE,2006-06-15,2006,P.U. (A) 231,Printed Documents,CHRIS WROBLEWSKI,COLLINS & BROWN CHRYSALIS BOOKS GROUP PLC,Unclear,IMPRINT BAGI CHRYSALIS BOOKS GROUP PLC,"[""English""]",Religious doctrinal deviance,Other,,,
TRISTAN TAORMINO'S TRUE LUST,2006-06-15,2006,P.U. (A) 231,Printed Documents,TRISTAN TAORMINO,CLEIS PRESS INC.,Foreign,DICETAK DI UNITED STATES,"[""English""]",Obscene / immoral publications,Pornography,,,
CAUGHT UP!,2006-06-15,2006,P.U. (A) 231,Printed Documents,WINSTON CHAPMAN,BLACK PEARL BOOKS,Unclear,DICETAK DI UNITED STATE OF AMERICA,"[""English""]",Obscene / immoral publications,Pornography,,,
THE SEXUAL LIFE OF CATHERINE M.,2006-06-15,2006,P.U. (A) 231,Printed Documents,CHATHERINE MILLET,GROVE PRESS,Foreign,DICETAK DI UNITED STATE OF AMERICA,"[""English""]",Obscene / immoral publications,Erotic/immoral content,,,
THE PORNOGRAPHER'S POEM,2006-06-15,2006,P.U. (A) 231,Printed Documents,MICHAEL TUNER,"VINTAGE CANADA,SUATU BAHAGIAN RANDOM HOUSE OF CANADA LIMITED",Foreign,DICETAK DI KANADA,"[""English""]",Obscene / immoral publications,Pornography,,,
BEACH STORY BY ERNESTO MESTRE-REED,2006-06-15,2006,P.U. (A) 231,Printed Documents,DAVID MORGAN,n/a,Unclear,DICETAK DI HONG KONG,"[""English""]",Obscene / immoral publications,Erotic/immoral content,,,
SCAR TISSUE,2006-06-15,2006,P.U. (A) 231,Printed Documents,ANTHONY KIEDIS BERSAMA-SAMA LA,HYPERION,Foreign,DICETAK DI UNITED STATE OF AMERICA,"[""English""]",Obscene / immoral publications,Erotic/immoral content,,,
NAKED ROOMS,2006-06-15,2006,P.U. (A) 231,Printed Documents,PETER GORMAN,GOLIATH,Foreign,n/a,"[""English""]",Obscene / immoral publications,Pornography,,,
THE QUEER MOVIE POSTER BOOK,2006-06-15,2006,P.U. (A) 231,Printed Documents,JENNI OLSON,CHRONICLE BOOKS LLC,Foreign,n/a,"[""English""]",Subversive ideological and political content,LGBT,,,
CLASSIC NUDE PHOTOGRAPHY TECHNIQUES AND IMAGES,2006-06-15,2006,P.U. (A) 231,Printed Documents,PETER GOWLAND & ALICE GOWLAND,AMFERST MEDIA INC.,Foreign,DICETAK DI KOREA,"[""English""]",Obscene / immoral publications,Pornography,,,
LIGHTING FOR NUDE PHOTOGRAPY,2006-06-15,2006,P.U. (A) 231,Printed Documents,ROD ASHFORD,ROTO VISION SA,Foreign,n/a,"[""English""]",Obscene / immoral publications,Pornography,,,
EROTIC HOME PHOTOGRAPY - HOW TO TAKE YOUR OWN NUDE PORTRAITS,2006-06-15,2006,P.U. (A) 231,Printed Documents,TOM ANG BERSAMA-SAMA WENDY ANG,FIRE BOOK(U.S) INC.,Foreign,DICETAK DI PORTUGAL,"[""English""]",Obscene / immoral publications,Pornography,,,
JOCK STURGES NOTES,2006-06-15,2006,P.U. (A) 231,Printed Documents,JOCK STURGES,APERTURE FOUNDATION,Unclear,n/a,"[""English""]",Obscene / immoral publications,Pornography,,,
BOX LUNCH THE LAYPERSON'S GUIDE TO CUNNILINGUS,2006-06-15,2006,P.U. (A) 231,Printed Documents,DIANA CAGE,ALYSON PUBLICATIONS,Foreign,DICETAK DI UNITED STATE OF AMERICA,"[""English""]",Obscene / immoral publications,Pornography,,,
SEXUAL PLEASURE REACHING NEW HEIGHTS OF SEXUAL AROUSAL AND INTIMACY,2006-06-15,2006,P.U. (A) 231,Printed Documents,"BARBARA KEESLING, PH.D",ORIENT PAPERBACKS,Unclear,RAKESH PRESS,"[""English""]",Obscene / immoral publications,Pornography,,,
KUNDALINI FOR BEGINNERS,2006-08-06,2006,P.U. (A) 215,Printed Documents,RAVINDRA KUMAR,HEALTH HARMONY B. JAIN PUBLISHERS (P) LTD.,Foreign,UNISONS TECHNO FINANCIAL CONSULTANTS (P) LTD.,"[""English""]",Religious doctrinal deviance,Other,,,
KAMASUTRA APAKAH KEBAIKANNYA?,2006-10-12,2006,P.U. (A) 373,Printed Documents,DRS MUNIR RAHMAT,KALAM ILHAM SDN.BHD.,Local,FZ ENTERPRISE SDN.BHD.,"[""Malay""]",Obscene / immoral publications,Pornography,,,
PENGAKUAN MANGSA ROGOL,2006-10-12,2006,P.U. (A) 373,Printed Documents,AYU MAYANGSARI,VISI MEGA PUBLICATIONS,Unclear,MAJU JAYA INDAH SDN.BHD.,"[""Malay""]",Obscene / immoral publications,Pornography,,,
UMEE SRIMAS PAKAR REPAIR `ANU' LELAKI,2006-10-12,2006,P.U. (A) 373,Printed Documents,WEBAH SALLEH,TEGUH RINGGIT PUBLISHING HOUSE,Local,PRINSIP TAKTIK SDN.BHD,"[""Malay""]",Obscene / immoral publications,Pornography,,,
RAHSIA PENYEGAR TENAGA BATIN SUAMI ISTERI,2006-10-12,2006,P.U. (A) 373,Printed Documents,DR.RUHANI,AL-HIDAYAH PUBLISHERS,Local,PERCETAKAN PUTRAJAYA SDN.BHD.,"[""Malay""]",Religious doctrinal deviance,Other,,,
Bahaya Taqlid Buta & Ta`sub Mazhab,2006-11-16,2006,P.U. (A) 403,Printed Documents,Rasul Dahri,Perniagaan Jahabersa,Local,Percetakan ICW Sdn.Bhd Kuala Lumpur,"[""Malay""]",Religious doctrinal deviance,Other,,,
"Siri 2: Imam Syafie (Rahimanhullah) Mengharamkan Kenduri Arwah, Tahlilan, Yasinan & Selamatan",2006-11-16,2006,P.U. (A) 403,Printed Documents,Ustaz Rasul bin Dahri,Perniagaan Jahabersa,Local,n/a,"[""Malay""]",Religious doctrinal deviance,Other,,,
